Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
Standard Bank Group,Banking,Middle East and Africa,2020,"TCFD Interim Report 2020, p. 11",Metrics and Targets a),https://www.standardbank.com/static_file/StandardBankGroup/filedownloads/TCFDInterimReport2020.pdf#page=11
State Street,Asset Manager,North America,2017,"2017 Corporate Responsibility Report, pp. 16-17",Risk Management a),http://www.statestreet.com/content/dam/statestreet/documents/values/CR_Report_2017.pdf#page=17
Swiss Re,Asset Owner,Europe,2018,"2018 Financial Report, p. 177",Strategy a); Strategy b),https://reports.swissre.com/2018/servicepages/downloads/files/2018_financial_report_swissre_ar18.pdf#page=179
Swiss Re,Insurance,Europe,2017,"2017 Financial Report, p. 141",Strategy a),http://reports.swissre.com/2017/servicepages/downloads/files/2017_financial_report_swissre_ar17.pdf#page=143
Teck Resources Ltd.,Materials and Buildings,North America,2017,2017 Sustainability Performance Data,Metrics and Targets a); Metrics and Targets b),https://www.teck.com/media/Teck-2017-Sustainability-Performance-Data(0).xlsx
Tiger Brands Limited,"Agriculture, Food, and Forest Products",Middle East and Africa,2018,"Sustainable Development Report 2018, p. 18",Governance a),https://www.tigerbrands-online.co.za/reports/ir-2018/sd/pdf/sd-full.pdf#page=20
Total,Energy,Europe,2019,"Universal Registration Document 2019, p. 232",Metrics and Targets c),https://www.total.com/sites/g/files/nytnzq111/files/atoms/files/2019_total_universal_registration_document.pdf#page=234
UBS,Banking,Europe,2019,"UBS GRI Document 2018, p. 40",Metrics and Targets a),https://www.ubs.com/global/en/sustainability-impact/sustainability-reporting/_jcr_content/mainpar/toplevelgrid/col1/tabteaser/tabteasersplit_420529649/innergrid_1637709579/xcol1/linklist/link.1937616125.file/PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL3Vicy1zb2NpZXR5L2dyaS0yMDE4LWVuLnBkZg==/gri-2018-en.pdf#page=44
Unilever,Consumer Goods,Europe,2017,"Annual Report and Accounts 2017, pp. 9, 32, 64",Governance a); Governance b); Strategy b); Strategy c),https://assets.unilever.com/files/92ui5egz/production/6be0d0dbe8c5088374b7f3ff903ef4995a1a6a62.pdf/unilever-annual-report-and-accounts-2017.pdf#page=12
Verizon,Technology and Media,North America,2019,"TCFD Report 2019, p. 7",Risk Management a); Risk Management b),https://www.verizon.com/about/sites/default/files/Verizon-TCFD-Report.pdf#page=7
Walmart de México y Centroamérica,"Agriculture, Food, and Forest Products",North America,2019,"Financial and Corporate Responsibility Report 2019, p. 96",Metrics and Targets b),https://informes.walmex.mx/2019/descargas/eng/Walmart_2019_annual_report_complete.pdf#page=96
Westpac Group,Banking,Asia Pacific,2017,"2017 Westpac Group Sustainability Performance Report, p. 45",Risk Management c),https://www.westpac.com.au/content/dam/public/wbc/documents/pdf/aw/ic/2017_Westpac_Sustainability_Performance_Report_2017.pdf#page=46
Woolworths Group,Consumer Goods,Asia Pacific,2018,"2018 Sustainability Report, p. 34",Governance a),https://www.woolworthsgroup.com.au/icms_docs/195398_2018-sustainability-report.pdf#page=36
