Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
CPP Investment Board (CPPIB),Asset Owner,North America,2018,"2018 Report on Sustainable Investing, p. 59",Governance a),http://www.cppib.com/documents/1922/CPPIB_SI_2018_ENG.pdf#page=61
CPP Investments,Asset Manager,North America,2020,"Report on Sustainable Investing 2020, p. 52",Risk Management a),https://cdn2.cppinvestments.com/wp-content/uploads/2020/11/CPP-Investments-2020-SI-Report-EN-Optimized.pdf#page=54
Danone,"Agriculture, Food, and Forest Products",Europe,2017,"2017 Registration Document, p. 28",Strategy a),https://www.danone.com/content/dam/danone-corp/danone-com/investors/en-all-publications/2017/registrationdocuments/Danone_-_Registration_Document_2017.pdf#page=31
Diageo,"Agriculture, Food, and Forest Products",Europe,2017,"2017 Form 20-F, p. 119",Risk Management b),https://www.diageo.com/PR1346/aws/media/3966/diageo-2017-20-f.pdf#page=119
DSM,Asset Manager,North America,2018,"Integrated Annual Report 2018, p. 133",Governance a); Governance b),https://annualreport.dsm.com/assets/ar2018/en_US/downloads/DSM-Annual-Report-2018.pdf
DSM,Asset Manager,North America,2018,"Integrated Annual Report 2018, pp. 8, 10",Strategy b),https://annualreport.dsm.com/assets/ar2018/en_US/downloads/DSM-Annual-Report-2018.pdf
DSM,Asset Manager,North America,2018,"Integrated Annual Report 2018, pp. 53-54",Metrics and Targets a); Metrics and Targets b); Metrics and Targets c),https://annualreport.dsm.com/assets/ar2018/en_US/downloads/DSM-Annual-Report-2018.pdf
Duke Energy,Energy,North America,2017,"2017 Climate Report to Shareholders, p. 1",Strategy a); Strategy b); Strategy c),https://www.duke-energy.com/_/media/pdfs/our-company/shareholder-climate-report.pdf
Electrolux AB,Consumer Goods,Europe,2018,"2018 Sustainability Report, pp. 29-30",Metrics and Targets c),https://www.electroluxgroup.com/en/wp-content/uploads/sites/2/2019/03/electrolux-sustainability-report-2018.pdf#page=34
EnBW,Energy,Europe,2019,"Integrated Annual Report 2019, pp. 33, 41, and 43",Strategy b),https://www.enbw.com/media/bericht/bericht_2019/downloads/integrated-annual-report-2019.pdf#page=38
